,STATEFP,COUNTYFP_x,VTDST,NAME,G16PRERTRU_x,G16PREDCLI_x,G16PRELJOH_x,G16PRECCAS_x,G16USSRTHU_x,G16USSDWIL_x,G16HALRNOE_x,G16HALDHAW_x,G16PUCRNEL_x,G16PUCDRED_x,geometry,County_Name,join_col,County,Precinct,G16PRERTRU_y,G16PREDCLI_y,G16PRELJOH_y,G16PRECCAS_y,G16USSRTHU_y,G16USSDWIL_y,G16HALRNOE_y,G16HALDHAW_y,G16PUCRNEL_y,G16PUCDRED_y,COUNTYFP_y,_merge
937,,,,,,,,,,,,,,,,,045-PRECINCT-5,EDMUNDS,Precinct-5,295.0,53.0,12.0,4.0,316.0,53.0,294.0,75.0,313.0,37.0,045,right_only
938,,,,,,,,,,,,,,,,,045-PRECINCT-3,EDMUNDS,Precinct-3,241.0,48.0,9.0,3.0,249.0,52.0,226.0,74.0,264.0,26.0,045,right_only
939,,,,,,,,,,,,,,,,,045-PRECINCT-2,EDMUNDS,Precinct-2,282.0,84.0,17.0,7.0,302.0,86.0,285.0,105.0,311.0,60.0,045,right_only
940,,,,,,,,,,,,,,,,,045-PRECINCT-1,EDMUNDS,Precinct-1,321.0,98.0,15.0,2.0,339.0,94.0,302.0,127.0,352.0,66.0,045,right_only
941,,,,,,,,,,,,,,,,,045-PRECINCT-4,EDMUNDS,Precinct-4,183.0,58.0,25.0,3.0,193.0,73.0,180.0,88.0,213.0,40.0,045,right_only
942,,,,,,,,,,,,,,,,,047-BEA,FALL RIVER,BEA,122.0,9.0,7.0,0.0,113.0,20.0,118.0,18.0,114.0,15.0,047,right_only
943,,,,,,,,,,,,,,,,,047-CAS,FALL RIVER,CAS,123.0,33.0,3.0,5.0,123.0,36.0,126.0,33.0,124.0,34.0,047,right_only
944,,,,,,,,,,,,,,,,,047-EDA,FALL RIVER,EDA,413.0,82.0,29.0,7.0,433.0,95.0,417.0,115.0,402.0,108.0,047,right_only
945,,,,,,,,,,,,,,,,,047-HS 1,FALL RIVER,HS 1,270.0,121.0,25.0,12.0,284.0,137.0,276.0,144.0,262.0,146.0,047,right_only
946,,,,,,,,,,,,,,,,,047-JAC,FALL RIVER,JAC,658.0,189.0,32.0,18.0,684.0,204.0,665.0,225.0,660.0,209.0,047,right_only
947,,,,,,,,,,,,,,,,,047-HS3,FALL RIVER,HS3,253.0,142.0,29.0,4.0,303.0,129.0,286.0,135.0,288.0,121.0,047,right_only
948,,,,,,,,,,,,,,,,,047-HS4,FALL RIVER,HS4,201.0,97.0,21.0,8.0,228.0,104.0,220.0,111.0,204.0,112.0,047,right_only
949,,,,,,,,,,,,,,,,,047-HS2,FALL RIVER,HS2,294.0,135.0,17.0,7.0,321.0,129.0,310.0,133.0,313.0,125.0,047,right_only
950,,,,,,,,,,,,,,,,,049-PRECINCT-7,FAULK,Precinct-7,190.0,65.0,9.0,3.0,225.0,50.0,196.0,80.0,227.0,42.0,049,right_only
951,,,,,,,,,,,,,,,,,049-PRECINCT-6,FAULK,Precinct-6,182.0,36.0,15.0,3.0,192.0,48.0,172.0,68.0,194.0,33.0,049,right_only
952,,,,,,,,,,,,,,,,,049-PRECINCT-1,FAULK,Precinct-1,139.0,38.0,10.0,3.0,142.0,43.0,136.0,54.0,153.0,31.0,049,right_only
953,,,,,,,,,,,,,,,,,049-PRECINCT-4,FAULK,Precinct-4,74.0,18.0,2.0,1.0,76.0,20.0,67.0,30.0,78.0,15.0,049,right_only
954,,,,,,,,,,,,,,,,,049-PRECINCT-3,FAULK,Precinct-3,109.0,23.0,4.0,1.0,119.0,19.0,113.0,24.0,112.0,19.0,049,right_only
955,,,,,,,,,,,,,,,,,049-PRECINCT-2,FAULK,Precinct-2,81.0,8.0,1.0,0.0,84.0,9.0,76.0,18.0,86.0,4.0,049,right_only
956,,,,,,,,,,,,,,,,,049-PRECINCT-5,FAULK,Precinct-5,83.0,16.0,4.0,0.0,87.0,17.0,78.0,27.0,91.0,10.0,049,right_only
957,,,,,,,,,,,,,,,,,051-PRECINCT-45,GRANT,Precinct-45,92.0,50.0,9.0,0.0,118.0,42.0,105.0,56.0,122.0,31.0,051,right_only
958,,,,,,,,,,,,,,,,,051-PRECINCT-54,GRANT,Precinct-54,112.0,45.0,7.0,3.0,120.0,48.0,111.0,55.0,126.0,33.0,051,right_only
959,,,,,,,,,,,,,,,,,051-PRECINCT-53,GRANT,Precinct-53,33.0,13.0,2.0,0.0,31.0,18.0,32.0,18.0,31.0,15.0,051,right_only
960,,,,,,,,,,,,,,,,,051-PRECINCT-52,GRANT,Precinct-52,57.0,19.0,7.0,0.0,63.0,19.0,53.0,31.0,59.0,18.0,051,right_only
961,,,,,,,,,,,,,,,,,051-PRECINCT-49,GRANT,Precinct-49,79.0,29.0,3.0,2.0,85.0,30.0,74.0,41.0,86.0,21.0,051,right_only
962,,,,,,,,,,,,,,,,,051-PRECINCT-47,GRANT,Precinct-47,173.0,37.0,11.0,1.0,193.0,33.0,176.0,48.0,193.0,28.0,051,right_only
963,,,,,,,,,,,,,,,,,051-PRECINCT-46,GRANT,Precinct-46,148.0,52.0,5.0,6.0,148.0,60.0,135.0,75.0,177.0,26.0,051,right_only
